Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:24.30,"urn:cite:hmt:vaimg.VA311VN-0813@0.477,0.2252,0.409,0.03"
urn:cts:greekLit:tlg0012.tlg001.msA:24.31,"urn:cite:hmt:vaimg.VA311VN-0813@0.473,0.25,0.392,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:24.32,"urn:cite:hmt:vaimg.VA311VN-0813@0.472,0.2695,0.403,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.33,"urn:cite:hmt:vaimg.VA311VN-0813@0.468,0.289,0.389,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.34,"urn:cite:hmt:vaimg.VA311VN-0813@0.467,0.3063,0.376,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.35,"urn:cite:hmt:vaimg.VA311VN-0813@0.466,0.3258,0.392,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.36,"urn:cite:hmt:vaimg.VA311VN-0813@0.468,0.3446,0.392,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,"urn:cite:hmt:vaimg.VA311VN-0813@0.475,0.3634,0.392,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.38,"urn:cite:hmt:vaimg.VA311VN-0813@0.472,0.3829,0.409,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.39,"urn:cite:hmt:vaimg.VA311VN-0813@0.467,0.4024,0.409,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.40,"urn:cite:hmt:vaimg.VA311VN-0813@0.465,0.4189,0.409,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.41,"urn:cite:hmt:vaimg.VA311VN-0813@0.463,0.4369,0.404,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.42,"urn:cite:hmt:vaimg.VA311VN-0813@0.469,0.455,0.404,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.43,"urn:cite:hmt:vaimg.VA311VN-0813@0.473,0.4745,0.42,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.44,"urn:cite:hmt:vaimg.VA311VN-0813@0.47,0.494,0.42,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.45,"urn:cite:hmt:vaimg.VA311VN-0813@0.47,0.515,0.406,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.46,"urn:cite:hmt:vaimg.VA311VN-0813@0.47,0.5323,0.406,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.47,"urn:cite:hmt:vaimg.VA311VN-0813@0.469,0.5526,0.379,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:24.48,"urn:cite:hmt:vaimg.VA311VN-0813@0.469,0.5721,0.412,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.49,"urn:cite:hmt:vaimg.VA311VN-0813@0.474,0.5908,0.404,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.50,"urn:cite:hmt:vaimg.VA311VN-0813@0.473,0.6081,0.417,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:24.51,"urn:cite:hmt:vaimg.VA311VN-0813@0.471,0.6261,0.365,0.0345"
urn:cts:greekLit:tlg0012.tlg001.msA:24.52,"urn:cite:hmt:vaimg.VA311VN-0813@0.471,0.6456,0.413,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.53,"urn:cite:hmt:vaimg.VA311VN-0813@0.476,0.6644,0.417,0.033"
urn:cts:greekLit:tlg0012.tlg001.msA:24.54,"urn:cite:hmt:vaimg.VA311VN-0813@0.474,0.6824,0.4,0.0338"
